rate_id,provider,product,metric,unit,rate_usd,included_quantity,included_credit_usd,effective_from,verified_at,source_url,status,notes
vercel_pro_platform,Vercel,Pro,platform_fee,month,20,1,20,2026-07-01,2026-07-11,https://vercel.com/docs/plans/pro-plan,verified,"One deploying seat; $20 monthly usage credit"
supabase_pro_platform,Supabase,Pro,platform_fee,month,25,1,10,2026-07-11,2026-07-11,https://supabase.com/pricing,verified,"First project; $10 compute credit"
supabase_mau_overage,Supabase,Pro,mau_overage,user_month,0.00325,100000,0,2026-07-11,2026-07-11,https://supabase.com/pricing,verified,"After 100k MAU"
supabase_egress_overage,Supabase,Pro,egress,gb,0.09,250,0,2026-07-11,2026-07-11,https://supabase.com/pricing,verified,"After 250 GB"
supabase_cached_egress_overage,Supabase,Pro,cached_egress,gb,0.03,250,0,2026-07-11,2026-07-11,https://supabase.com/pricing,verified,"After 250 GB"
supabase_storage_overage,Supabase,Pro,file_storage,gb_month,0.0213,100,0,2026-07-11,2026-07-11,https://supabase.com/pricing,verified,"After 100 GB"
modal_starter_platform,Modal,Starter,platform_fee,month,0,1,30,2026-07-11,2026-07-11,https://modal.com/pricing,verified,"Up to three seats; credits excluded from normalized COGS"
modal_cpu,Modal,Sandbox,cpu,physical_core_second,0.00003942,0,0,2026-07-11,2026-07-11,https://modal.com/pricing,verified,"Minimum 0.125 cores per container"
modal_memory,Modal,Sandbox,memory,gib_second,0.00000672,0,0,2026-07-11,2026-07-11,https://modal.com/pricing,verified,"Requested or billable usage per provider rules"
workos_authkit,WorkOS,AuthKit,monthly_active_user,user_month,0,1000000,0,2026-07-11,2026-07-11,https://workos.com/pricing,verified,"First 1M MAU free"
workos_sso,WorkOS,SSO,connection,connection_month,125,0,0,2026-07-11,2026-07-11,https://workos.com/pricing,verified,"1-15 connections; volume discounts later"
workos_directory_sync,WorkOS,Directory Sync,connection,connection_month,125,0,0,2026-07-11,2026-07-11,https://workos.com/pricing,verified,"1-15 connections; volume discounts later"
workos_custom_domain,WorkOS,Custom Domain,domain,month,99,0,0,2026-07-11,2026-07-11,https://workos.com/pricing,verified,"AuthKit/Admin Portal/email sender custom domain"
openrouter_platform,OpenRouter,Pay-as-you-go,platform_fee,credit_purchase_fraction,0.055,0,0,2026-07-11,2026-07-11,https://openrouter.ai/pricing,verified,"Inference billed at model catalog rates; rate row is platform fee"
exa_search,Exa,Search,request,request,0.007,20000,0,2026-07-11,2026-07-11,https://exa.ai/pricing,verified,"$7/1k requests; free allowance belongs only in cash-burn view"
exa_contents,Exa,Contents,page_content_type,page,0.001,0,0,2026-07-11,2026-07-11,https://exa.ai/pricing,verified,"$1/1k pages per content type"
stripe_domestic_card,Stripe,Payments,successful_domestic_card,transaction_fraction,0.029,0,0,2026-07-11,2026-07-11,https://stripe.com/pricing,verified,"Plus fixed fee row"
stripe_domestic_card_fixed,Stripe,Payments,successful_domestic_card,transaction,0.30,0,0,2026-07-11,2026-07-11,https://stripe.com/pricing,verified,"US standard pricing"
composio_contract,Composio,Platform,contract,unknown,0,0,0,2026-07-11,2026-07-11,https://dashboard.composio.dev,pending,"Record dashboard/contract rate before commercial forecast"
financial_datasets_contract,Financial Datasets,API,contract,unknown,0,0,0,2026-07-11,2026-07-11,https://www.financialdatasets.ai/pricing,pending,"Public page did not expose a stable machine-readable rate; verify account contract"

